date,nav,dayChange,scheme_code
2022-11-14,84.3077,-0.2095000000000055,119718
2022-11-15,84.4455,0.1377999999999986,119718
2022-11-16,84.2144,-0.2310999999999978,119718
2022-11-17,83.9622,-0.252200000000002,119718
2022-11-18,83.7433,-0.2188999999999907,119718
2022-11-21,83.386,-0.3573000000000093,119718
2022-11-22,83.5454,0.1594000000000051,119718
2022-11-23,83.933,0.3876000000000061,119718
2022-11-24,84.6227,0.6896999999999878,119718
2022-11-25,84.7312,0.1085000000000064,119718
2022-11-28,85.0208,0.289599999999993,119718
2022-11-29,85.1722,0.1514000000000095,119718
2022-11-30,85.5261,0.3538999999999959,119718
2022-12-01,85.9116,0.3855000000000075,119718
2022-12-02,85.8339,-0.0777000000000072,119718
2022-12-05,85.8485,0.0146000000000015,119718
2022-12-06,85.4436,-0.4048999999999978,119718
2022-12-07,85.1874,-0.2562000000000068,119718
2022-12-08,85.5663,0.3789000000000015,119718
2022-12-09,85.1559,-0.4103999999999956,119718
2022-12-12,85.3109,0.1550000000000011,119718
2022-12-13,85.7885,0.4775999999999953,119718
2022-12-14,86.1885,0.4000000000000057,119718
2022-12-15,85.2549,-0.9335999999999984,119718
2022-12-16,84.3748,-0.880100000000013,119718
2022-12-19,84.7804,0.4056000000000068,119718
2022-12-20,84.6264,-0.1539999999999963,119718
2022-12-21,83.646,-0.980400000000003,119718
2022-12-22,83.0464,-0.5995999999999952,119718
2022-12-23,81.2603,-1.786100000000005,119718
2022-12-26,82.732,1.4716999999999985,119718
2022-12-27,83.3272,0.5952000000000055,119718
2022-12-28,83.2826,-0.0446000000000026,119718
2022-12-29,83.6736,0.3909999999999911,119718
2022-12-30,83.5066,-0.1669999999999873,119718
2023-01-02,83.8859,0.3793000000000006,119718
2023-01-03,84.0268,0.1408999999999878,119718
2023-01-04,83.2789,-0.7479000000000013,119718
2023-01-05,83.2312,-0.0476999999999918,119718
2023-01-06,82.6376,-0.593599999999995,119718
2023-01-09,83.5018,0.8641999999999967,119718
2023-01-10,82.967,-0.5348000000000042,119718
2023-01-11,82.817,-0.1500000000000056,119718
