category,scheme_name,benchmark,return_1y_direct,return_3y_direct,return_5y_direct
Multi Cap,ICICI Prudential Multicap Fund,NIFTY 500 Multicap 50:25:25 Total Return Index,12.301221,18.394764,16.484617
Multi Cap,ITI Multi Cap Fund,NIFTY 500 Multicap 50:25:25 Total Return Index,13.564062,19.02755,14.57253
Multi Cap,Invesco India Multicap Fund,NIFTY 500 Multicap 50:25:25 Total Return Index,4.1688313,15.486205,13.180021
Multi Cap,Kotak Multicap Fund,NIFTY 500 Multicap 50:25:25 Total Return Index,11.136525,19.47004,
Multi Cap,LIC MF Multi Cap Fund,NIFTY 500 Multicap 50:25:25 Total Return Index,11.813539,19.982313,
Multi Cap,Mahindra Manulife Multi Cap Fund,NIFTY 500 Multicap 50:25:25 Total Return Index,13.090593,19.136406,17.169998
Multi Cap,Mirae Asset Multicap Fund,NIFTY 500 Multicap 50:25:25 Total Return Index,7.767124,,
Multi Cap,Motilal Oswal Multi Cap Fund,NIFTY 500 Multicap 50:25:25 Total Return Index,7.859679,,
Multi Cap,Nippon India Multicap Fund,NIFTY 500 Multicap 50:25:25 Total Return Index,4.460997,16.264677,19.598694
Multi Cap,PGIM India Multi Cap Fund,NIFTY 500 Multicap 50:25:25 Total Return Index,11.616161,,
Multi Cap,Quant Multi Cap Fund,NIFTY 500 Multicap 50:25:25 Total Return Index,10.411993,12.26698,12.69153
Multi Cap,SBI Multicap Fund,NIFTY 500 Multicap 50:25:25 Total Return Index,3.0806398,15.217423,
Multi Cap,Samco Multi Cap Fund,NIFTY 500 Multicap 50:25:25 Total Return Index,-5.735141,,
Multi Cap,Sundaram Multi Cap Fund,NIFTY 500 Multicap 50:25:25 Total Return Index,6.1155477,15.247837,13.642866
Multi Cap,TRUSTMF Multi Cap Fund,NIFTY 500 Multicap 50:25:25 Total Return Index,19.4,,
Multi Cap,Tata Multicap Fund,NIFTY 500 Multicap 50:25:25 Total Return Index,13.921793,13.048298,
Multi Cap,UTI Multi Cap Fund,NIFTY 500 Multicap 50:25:25 Total Return Index,7.9601502,,
Multi Cap,Union Multicap Fund,NIFTY 500 Multicap 50:25:25 Total Return Index,13.686807,17.011822,
Multi Cap,WhiteOak Capital Multi Cap Fund,NIFTY 500 Multicap 50:25:25 Total Return Index,11.547495,,
Mid Cap,Aditya Birla Sun Life Mid Cap Fund,Nifty Midcap 150 TRI,10.759458,18.151697,15.693181
Mid Cap,Axis Midcap Fund,BSE Midcap 150 TRI,9.626809,18.564692,14.95706
Mid Cap,Bandhan Midcap Fund,BSE Midcap 150 TRI,11.327696,20.454771,
Mid Cap,Bank of India Mid Cap Fund,Nifty Midcap 150 TRI,,,
Mid Cap,Baroda BNP Paribas Mid Cap Fund,Nifty Midcap 150 TRI,14.809783,20.029451,16.851362
Mid Cap,Canara Robeco Mid Cap Fund,BSE Midcap 150 TRI,9.147026,19.627884,
Mid Cap,DSP Midcap Fund,Nifty Midcap 150 TRI,9.13626,17.258785,13.071841
Mid Cap,Edelweiss Mid Cap Fund,Nifty Midcap 150 TRI,11.475761,23.812626,19.778908
Mid Cap,Franklin India Mid Cap Fund,Nifty Midcap 150 TRI,6.1453457,18.596245,15.5777645
Mid Cap,HDFC Mid Cap Fund,Nifty Midcap 150 TRI,11.678017,20.579346,20.635101
Mid Cap,HSBC Mid Cap Fund,Nifty Midcap 150 TRI,21.16697,26.194756,19.574024
Mid Cap,Helios Mid Cap Fund,Nifty Midcap 150 TRI,17.637272,,
Mid Cap,ICICI Prudential Midcap Fund,Nifty Midcap 150 TRI,16.560452,23.902735,18.436733
Mid Cap,ITI Mid Cap Fund,Nifty Midcap 150 TRI,14.494553,23.350216,17.472866
Mid Cap,Invesco India Mid Cap Fund,BSE Midcap 150 TRI,13.740672,26.260286,20.971579
Mid Cap,JM Midcap Fund,Nifty Midcap 150 TRI,13.436104,21.882915,
Mid Cap,Kotak Midcap Fund,Nifty Midcap 150 TRI,10.105798,20.552298,18.107933
Mid Cap,LIC MF Mid cap Fund,Nifty Midcap 150 TRI,8.945437,18.72221,14.132552
Mid Cap,Mahindra Manulife Mid Cap Fund,Nifty Midcap 150 TRI,16.462181,22.806822,19.481327
Mid Cap,Mirae Asset Midcap Fund,Nifty Midcap 150 TRI,15.068706,18.840752,17.067854
Mid Cap,Motilal Oswal Midcap Fund,Nifty Midcap 150 TRI,-0.0048407232,20.489933,23.105713
Mid Cap,Nippon India Growth Mid Cap Fund,Nifty Midcap 150 TRI,12.596235,21.958338,19.945528
Mid Cap,PGIM India Midcap Fund,Nifty Midcap 150 TRI,3.7438815,13.287084,12.772571
Mid Cap,Quant Mid Cap Fund,Nifty Midcap 150 TRI,8.410557,15.056037,17.379782
Mid Cap,SBI Midcap Fund,Nifty Midcap 150 TRI,8.2581005,13.581713,15.12774
Mid Cap,Samco Mid Cap Fund,Nifty Midcap 150 TRI,,,
Mid Cap,Sundaram Mid Cap Fund,Nifty Midcap 150 TRI,11.917635,21.946032,19.068197
