category,scheme_name,benchmark,return_1y_direct,return_3y_direct,return_5y_direct,scheme_code,matched_name
Large & Mid Cap,Mirae Asset Large & Midcap Fund,Nifty LargeMidcap 250 TRI,9.392854,14.735789,12.625784,118834,Mirae Asset Large & Midcap Fund - Direct Plan - Growth
Large & Mid Cap,Motilal Oswal Large and Midcap Fund,Nifty LargeMidcap 250 TRI,9.117998,23.40173,19.372725,147704,Motilal Oswal Large and Midcap Fund - Direct Plan Growth
Large & Mid Cap,Navi Large & Midcap Fund,Nifty LargeMidcap 250 TRI,8.767521,12.243017,12.963783,120158,Kotak Large & Midcap Fund - Direct- Growth
Large & Mid Cap,Nippon India Vision Large & Mid Cap Fund,Nifty LargeMidcap 250 TRI,6.5688043,17.440392,15.18518,118675,Nippon India Vision Large & Mid Cap Fund - Direct Plan Growth Plan - Bonus Option
Large & Mid Cap,PGIM India Large and Midcap Fund,Nifty LargeMidcap 250 TRI,4.7619047,,,152382,PGIM India Large and Midcap Fund - Direct Plan - Growth Option
Large & Mid Cap,Quant Large and Mid Cap Fund,Nifty LargeMidcap 250 TRI,14.173263,17.883347,17.53297,152408,Bajaj Finserv Large and Mid Cap Fund- Direct Plan- Growth
Large & Mid Cap,SBI Large & Midcap Fund,Nifty LargeMidcap 250 TRI,8.948504,15.345731,15.080483,146772,HSBC Large & Mid Cap Fund - Direct Growth
Large & Mid Cap,Samco Large & Mid Cap Fund,Nifty LargeMidcap 250 TRI,-5.6133056,,,146772,HSBC Large & Mid Cap Fund - Direct Growth
Large & Mid Cap,Sundaram Large and Mid Cap Fund,Nifty LargeMidcap 250 TRI,12.907133,16.5045,14.1083765,119566,Sundaram Large and Midcap Fund Direct Plan - Growth
Large & Mid Cap,Tata Large & Mid Cap Fund,Nifty LargeMidcap 250 TRI,-1.0271806,9.526889,11.564593,154381,The Wealth Company Large & Mid Cap Fund Direct Growth
Large & Mid Cap,The Wealth Company Large & Mid Cap Fund,Nifty LargeMidcap 250 TRI,,,,154381,The Wealth Company Large & Mid Cap Fund Direct Growth
Large & Mid Cap,UTI Large & Mid Cap Fund,Nifty LargeMidcap 250 TRI,7.763968,17.699444,15.621265,146772,HSBC Large & Mid Cap Fund - Direct Growth
Large & Mid Cap,Union Large and Mid Cap Fund,Nifty LargeMidcap 250 TRI,9.848764,14.835892,13.913605,152408,Bajaj Finserv Large and Mid Cap Fund- Direct Plan- Growth
Large & Mid Cap,WhiteOak Capital Large & Mid Cap Fund,BSE 250 Large MidCap TRI,10.679611,,,152226,Whiteoak Capital Large & Mid Cap Fund Direct Plan Growth
Flexi Cap,Abakkus Flexi Cap Fund,BSE 500 TRI,,,,154043,Abakkus Flexi Cap Fund - Direct - Growth
Flexi Cap,Aditya Birla Sun Life Flexi Cap Fund,Nifty 500 TRI,13.544871,17.30301,13.567915,120564,Aditya Birla Sun Life Flexi Cap Fund - Growth - Direct Plan
Flexi Cap,Axis Flexi Cap Fund,Nifty 500 TRI,7.613868,15.167935,10.862657,141925,Axis Flexi Cap Fund - Direct Plan - Growth
Flexi Cap,Bajaj Finserv Flexi Cap Fund,BSE 500 TRI,10.823466,,,151895,Bajaj Finserv Flexi Cap Fund-Direct Plan-Growth
Flexi Cap,Bandhan Flexi Cap Fund,BSE 500 TRI,5.3405476,14.089101,11.722816,144546,Tata Flexi Cap Fund-Direct Plan-Growth
Flexi Cap,Bank of India Flexi Cap Fund,BSE 500 TRI,15.05876,21.460608,17.4986,151443,Bank of India Multi Cap Fund Direct Plan - Growth
Flexi Cap,Baroda BNP Paribas Flexi Cap Fund,Nifty 500 TRI,6.5291543,14.834446,,150387,Baroda BNP Paribas Flexi Cap Fund - Direct Plan - Growth Option
Flexi Cap,Canara Robeco Flexi Cap Fund,BSE 500 TRI,4.224242,13.6780815,11.845559,150817,Canara Robeco Mid Cap Fund- Direct Plan- Growth Option
Flexi Cap,Capitalmind Flexi Cap Fund,Nifty 500 TRI,,,,150346,WhiteOak Capital Flexi Cap Fund Direct Plan-Growth
Flexi Cap,DSP Flexi Cap Fund,Nifty 500 TRI,6.2861786,14.191664,11.598366,119076,DSP Flexi Cap Fund - Direct Plan - Growth
Flexi Cap,Edelweiss Flexi Cap Fund,Nifty 500 TRI,7.6287804,16.750399,14.544862,140353,Edelweiss Flexi Cap Fund - Direct Plan - Growth Option
Flexi Cap,Franklin India Flexi Cap Fund,Nifty 500 TRI,1.8434355,13.76654,14.009911,118535,Franklin India Flexi Cap Fund - Direct - Growth
Flexi Cap,HDFC Flexi Cap Fund,Nifty 500 TRI,7.1682253,18.010368,18.652363,120046,HSBC Flexi Cap Fund - Direct Growth
Flexi Cap,HSBC Flexi Cap Fund,Nifty 500 TRI,8.430476,17.323725,15.017803,120046,HSBC Flexi Cap Fund - Direct Growth
Flexi Cap,Helios Flexi Cap Fund,Nifty 500 TRI,10.958904,,,152135,Helios Flexi Cap Fund - Direct Plan - Growth Option
Flexi Cap,ICICI Prudential Flexicap Fund,BSE 500 TRI,14.586543,18.870047,16.957426,148990,ICICI Prudential Flexicap Fund - Direct Plan - Growth
Flexi Cap,ITI Flexi Cap Fund,Nifty 500 TRI,14.285404,20.192522,,151379,ITI Flexi Cap Fund- Direct Plan- Growth
Flexi Cap,Invesco India Flexi Cap Fund,BSE 500 TRI,5.9529767,20.409416,,149763,Invesco India Flexi Cap Fund - Direct Plan - Growth
Flexi Cap,JM Flexi Cap Fund,BSE 500 TRI,6.3875375,17.156593,17.595182,120046,HSBC Flexi Cap Fund - Direct Growth
Flexi Cap,JioBlackRock Flexi Cap Fund,Nifty 500 TRI,,,,153859,JioBlackRock Flexi Cap Fund - Direct Plan - Growth Option
Flexi Cap,Kotak Flexi Cap Fund,Nifty 500 TRI,3.9417138,13.934468,12.343134,120166,Kotak Flexicap Fund - Growth - Direct
Flexi Cap,LIC MF Flexi Cap Fund,Nifty 500 TRI,12.410451,13.636953,12.1438055,120264,LIC MF Flexi Cap Fund-Direct Plan-Growth
Flexi Cap,Mahindra Manulife Flexi Cap Fund,Nifty 500 TRI,2.6544716,12.519261,,149104,Mahindra Manulife Flexi Cap Fund - Direct Plan -Growth
Flexi Cap,Mirae Asset Flexi Cap Fund,Nifty 500 TRI,6.7609477,13.834738,,151412,Mirae Asset Flexi Cap Fund - Direct Plan - Growth
Flexi Cap,Motilal Oswal Flexi Cap Fund,Nifty 500 TRI,1.6556988,19.952084,13.391606,152651,Motilal Oswal Multi Cap Fund-Direct Plan Growth
Flexi Cap,NJ Flexi Cap Fund,Nifty 500 TRI,1.6715117,,,120046,HSBC Flexi Cap Fund - Direct Growth
Flexi Cap,Navi Flexi Cap Fund,Nifty 500 TRI,15.651477,13.4931345,13.3052225,143793,Navi Flexi Cap Fund - Direct Plan - Growth
Flexi Cap,Nippon India Flexi Cap Fund,Nifty 500 TRI,5.097072,13.1555395,,118535,Franklin India Flexi Cap Fund - Direct - Growth
Flexi Cap,Old Bridge Flexi Cap Fund,BSE 500 TRI,,,,154225,Old Bridge Flexi Cap Fund Direct Growth
Flexi Cap,PGIM India Flexi Cap Fund,Nifty 500 TRI,4.9479165,11.898118,9.752585,133839,PGIM India Flexi Cap Fund - Direct Plan - Growth Option
Flexi Cap,Parag Parikh Flexi Cap Fund,Nifty 500 TRI,1.4427521,14.952118,13.774447,122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth
Flexi Cap,Quant Flexi Cap Fund,Nifty 500 TRI,16.81438,18.051073,16.007605,144546,Tata Flexi Cap Fund-Direct Plan-Growth
Flexi Cap,SBI Flexi Cap Fund,BSE 500 TRI,3.2466211,9.857216,9.709212,120046,HSBC Flexi Cap Fund - Direct Growth
Flexi Cap,Samco Flexi Cap Fund,Nifty 500 TRI,-4.0256176,-0.59547615,,144905,Shriram Flexi Cap Fund - Direct Growth
Flexi Cap,Shriram Flexi Cap Fund,Nifty 500 TRI,3.32238,10.360156,9.741745,144905,Shriram Flexi Cap Fund - Direct Growth
Flexi Cap,Sundaram Flexi Cap Fund,Nifty 500 TRI,1.3789023,11.358181,,150571,Sundaram Flexicap Fund Direct Growth
Flexi Cap,TRUSTMF Flexi Cap Fund,Nifty 500 TRI,11.568799,,,152584,TRUSTMF Flexi Cap Fund-Direct Plan- Growth
Flexi Cap,Tata Flexi Cap Fund,Nifty 500 TRI,1.8848647,12.632322,11.284563,144546,Tata Flexi Cap Fund-Direct Plan-Growth
